time,SMA
2025-11-07,276.1620
2025-10-31,269.6185
2025-10-24,262.7955
2025-10-17,258.8945
2025-10-10,255.8476
2025-10-03,252.8374
2025-09-26,252.6692
2025-09-19,254.0954
2025-09-12,257.7420
2025-09-05,261.7716
2025-08-29,265.6527
2025-08-22,269.1343
2025-08-15,271.8027
2025-08-08,273.1861
2025-08-01,274.1743
2025-07-25,274.6857
2025-07-18,271.3300
2025-07-11,267.2858
2025-07-03,261.2080
2025-06-27,255.7996
2025-06-20,251.4810
2025-06-13,245.3701
2025-06-06,242.6901
2025-05-30,241.4789
2025-05-23,240.1462
2025-05-16,239.5860
2025-05-09,239.6385
2025-05-02,241.3905
2025-04-25,244.2581
2025-04-17,245.5203
2025-04-11,246.6005
2025-04-04,246.7456
2025-03-28,244.8470
2025-03-21,241.8017
2025-03-14,239.0659
2025-03-07,234.8746
2025-02-28,231.5791
2025-02-21,228.3923
2025-02-14,225.8754
2025-02-07,223.4217
2025-01-31,220.5751
2025-01-24,219.0866
2025-01-17,217.8838
2025-01-10,216.7205
2025-01-03,215.8197
2024-12-27,216.6872
2024-12-20,217.5617
2024-12-13,216.8639
2024-12-06,214.9939
2024-11-29,213.8951
2024-11-22,212.9969
2024-11-15,212.3456
2024-11-08,211.1314
2024-11-01,209.9987
2024-10-25,207.8930
2024-10-18,204.0081
2024-10-11,199.0872
2024-10-04,195.7943
2024-09-27,192.0187
2024-09-20,188.4988
2024-09-13,184.5132
2024-09-06,181.5976
2024-08-30,178.8343
2024-08-23,176.0441
2024-08-16,173.5401
2024-08-09,170.9978
2024-08-02,169.6379
2024-07-26,167.3074
2024-07-19,165.7750
2024-07-12,163.9885
2024-07-05,162.9597
2024-06-28,163.6523
2024-06-21,164.4932
2024-06-14,166.2856
2024-06-07,168.0745
2024-05-31,170.1783
2024-05-24,172.0436
2024-05-17,174.3711
2024-05-10,176.1438
2024-05-03,177.9664
2024-04-26,179.8977
2024-04-19,180.2269
2024-04-12,180.0632
2024-04-05,179.7337
2024-03-28,177.9472
2024-03-22,175.4720
2024-03-15,172.1871
2024-03-08,168.9702
2024-03-01,166.3959
2024-02-23,164.0278
2024-02-16,161.5076
2024-02-09,158.9274
2024-02-02,156.0411
2024-01-26,152.7359
2024-01-19,150.4322
2024-01-12,148.5819
2024-01-05,146.9645
2023-12-29,144.3421
2023-12-22,142.0243
2023-12-15,139.9889
2023-12-08,137.6996
2023-12-01,136.2469
2023-11-24,135.2207
2023-11-17,134.6908
2023-11-10,134.4821
2023-11-03,134.2502
2023-10-27,134.0847
2023-10-20,134.6851
2023-10-13,135.0638
2023-10-06,135.0501
2023-09-29,134.8356
2023-09-22,133.4474
2023-09-15,131.9955
2023-09-08,130.4351
2023-09-01,128.5640
2023-08-25,127.5709
2023-08-18,126.9176
2023-08-11,125.8457
2023-08-04,124.4185
2023-07-28,122.9109
2023-07-21,121.3996
2023-07-14,120.3669
2023-07-07,119.7090
2023-06-30,118.8247
2023-06-23,118.5637
2023-06-16,117.7979
2023-06-09,117.1693
2023-06-02,116.3967
2023-05-26,115.7561
2023-05-19,115.3825
2023-05-12,115.8344
2023-05-05,116.5328
2023-04-28,117.2304
2023-04-21,118.1833
2023-04-14,118.7190
2023-04-06,118.9791
2023-03-31,119.7731
2023-03-24,121.4295
2023-03-17,123.0721
2023-03-10,124.3697
2023-03-03,125.3146
2023-02-24,125.9558
2023-02-17,127.0518
2023-02-10,127.9761
2023-02-03,129.0705
2023-01-27,130.2622
2023-01-20,130.3730
2023-01-13,129.3460
2023-01-06,128.6562
2022-12-30,127.5975
2022-12-23,125.6722
2022-12-16,123.7093
2022-12-09,121.0895
2022-12-02,118.6492
2022-11-25,116.5784
2022-11-18,114.8880
2022-11-11,113.4156
2022-11-04,112.8237
2022-10-28,112.7872
2022-10-21,112.9706
2022-10-14,113.8273
2022-10-07,114.6563
2022-09-30,115.2494
2022-09-23,116.6812
2022-09-16,117.7813
2022-09-09,118.4825
2022-09-02,119.6102
2022-08-26,119.9840
2022-08-19,119.5064
2022-08-12,120.2381
2022-08-05,120.6863
2022-07-29,120.5765
2022-07-22,120.9860
2022-07-15,120.4815
2022-07-08,119.6701
2022-07-01,119.3144
2022-06-24,117.8032
2022-06-17,116.9682
2022-06-10,116.5033
2022-06-03,115.2953
2022-05-27,114.3493
2022-05-20,113.7729
2022-05-13,113.0554
2022-05-06,111.8530
2022-04-29,111.0890
2022-04-22,110.6549
2022-04-14,111.4521
2022-04-08,111.8439
2022-04-01,111.5120
2022-03-25,111.5569
2022-03-18,111.8901
2022-03-11,112.5841
2022-03-04,112.8076
2022-02-25,112.9799
2022-02-18,112.8114
2022-02-11,111.5404
2022-02-04,109.9255
2022-01-28,108.3740
2022-01-21,107.6493
2022-01-14,106.7380
2022-01-07,105.3212
2021-12-31,104.1393
2021-12-23,104.5847
2021-12-17,105.4109
2021-12-10,106.3436
2021-12-03,107.2636
2021-11-26,107.9221
2021-11-19,109.1693
2021-11-12,110.2140
2021-11-05,111.0077
2021-10-29,112.1864
2021-10-22,113.4564
2021-10-15,113.3108
2021-10-08,113.0137
2021-10-01,112.7732
2021-09-24,112.5243
2021-09-17,113.0022
2021-09-10,113.0008
2021-09-03,113.4597
2021-08-27,113.6988
2021-08-20,114.4561
2021-08-13,114.6685
2021-08-06,114.7604
2021-07-30,115.0491
2021-07-23,115.2930
2021-07-16,116.0407
2021-07-09,116.1028
2021-07-02,116.1701
2021-06-25,114.9787
2021-06-18,114.1314
2021-06-11,112.6472
2021-06-04,111.6007
2021-05-28,110.1667
2021-05-21,108.6702
2021-05-14,106.8452
2021-05-07,104.7027
2021-04-30,102.7013
2021-04-23,100.9403
2021-04-16,99.9443
2021-04-09,98.6238
2021-04-01,97.3236
2021-03-26,96.6591
2021-03-19,96.4824
2021-03-12,96.1994
2021-03-05,96.2360
2021-02-26,96.3931
2021-02-19,96.8018
2021-02-12,97.1714
2021-02-05,97.2869
2021-01-29,97.0941
2021-01-22,97.0580
2021-01-15,96.1685
2021-01-08,94.8522
2020-12-31,93.8384
2020-12-24,93.8334
2020-12-18,94.0143
2020-12-11,93.6105
2020-12-04,93.0176
2020-11-27,92.6043
2020-11-20,92.8562
2020-11-13,93.0248
2020-11-06,93.4639
2020-10-30,94.3211
2020-10-23,95.1522
2020-10-16,95.0460
2020-10-09,94.5719
2020-10-02,94.6806
2020-09-25,94.9789
2020-09-18,94.8064
2020-09-11,94.6008
2020-09-04,94.1623
2020-08-28,93.8004
2020-08-21,93.3284
2020-08-14,93.7375
2020-08-07,93.5540
2020-07-31,93.3869
2020-07-24,93.0086
2020-07-17,92.6850
2020-07-10,92.6423
2020-07-02,92.8431
2020-06-26,92.8119
2020-06-19,92.6521
2020-06-12,91.8695
2020-06-05,89.9239
2020-05-29,87.5468
2020-05-22,85.6782
2020-05-15,85.5784
2020-05-08,86.1257
2020-05-01,87.9762
2020-04-24,89.7922
2020-04-17,92.3270
2020-04-09,93.9094
2020-04-03,95.9108
2020-03-27,98.0304
2020-03-20,100.9882
2020-03-13,103.5385
2020-03-06,104.5598
2020-02-28,104.8305
2020-02-21,103.9326
2020-02-14,102.5960
2020-02-07,101.1026
2020-01-31,100.3772
2020-01-24,100.0657
2020-01-17,100.0205
2020-01-10,99.9594
2020-01-03,100.0334
2019-12-27,99.7269
2019-12-20,100.0885
2019-12-13,100.5087
2019-12-06,101.1546
2019-11-29,101.5327
2019-11-22,102.0098
2019-11-15,102.3550
2019-11-08,102.0644
2019-11-01,101.6840
2019-10-25,101.6019
2019-10-18,101.8255
2019-10-11,101.8997
2019-10-04,102.4218
2019-09-27,102.7673
2019-09-20,102.7722
2019-09-13,102.5434
2019-09-06,102.3538
2019-08-30,102.5560
2019-08-23,102.7607
2019-08-16,102.6115
2019-08-09,101.8775
2019-08-02,100.9463
2019-07-26,99.6723
2019-07-19,98.4491
2019-07-12,97.9979
2019-07-05,97.7410
2019-06-28,97.6084
2019-06-21,97.8615
2019-06-14,98.2918
2019-06-07,98.6872
2019-05-31,99.4347
2019-05-24,99.8728
2019-05-17,99.9374
2019-05-10,100.3037
2019-05-03,100.4254
2019-04-26,100.3294
2019-04-18,99.9621
2019-04-12,99.1070
2019-04-05,98.2856
2019-03-29,96.8787
2019-03-22,95.4498
2019-03-15,93.7528
2019-03-08,92.0327
2019-03-01,89.7863
2019-02-22,88.1882
2019-02-15,86.7943
2019-02-08,86.0722
2019-02-01,84.9645
2019-01-25,84.1528
2019-01-18,84.1669
2019-01-11,83.7515
2019-01-04,83.7756
2018-12-28,84.8105
2018-12-21,86.8429
2018-12-14,88.7937
2018-12-07,90.9215
2018-11-30,92.5869
2018-11-23,94.5831
2018-11-16,96.2200
2018-11-09,97.6812
2018-11-02,99.8365
2018-10-26,101.7255
2018-10-19,102.7437
2018-10-12,103.0927
2018-10-05,102.7255
2018-09-28,102.2412
2018-09-21,101.7525
2018-09-14,101.2368
2018-09-07,100.5517
2018-08-31,100.0564
2018-08-24,99.7554
2018-08-17,99.6630
2018-08-10,99.4270
2018-08-03,99.1214
2018-07-27,99.1318
2018-07-20,99.0018
2018-07-13,98.7780
2018-07-06,98.9626
2018-06-29,99.3201
2018-06-22,100.4173
2018-06-15,100.8298
2018-06-08,101.1789
2018-06-01,101.6811
2018-05-25,102.7486
2018-05-18,103.6440
2018-05-11,104.1952
2018-05-04,105.0028
2018-04-27,105.6134
2018-04-20,106.0149
2018-04-13,105.8994
2018-04-06,106.8544
2018-03-29,107.3019
2018-03-23,108.1382
2018-03-16,108.2280
2018-03-09,107.7702
2018-03-02,107.5552
2018-02-23,107.2855
2018-02-16,107.1228
2018-02-09,107.3419
2018-02-02,106.9473
2018-01-26,105.8093
2018-01-19,104.9543
2018-01-12,103.9504
2018-01-05,103.2451
2017-12-29,103.6478
2017-12-22,103.1912
2017-12-15,102.6254
2017-12-08,101.8770
2017-12-01,101.0657
2017-11-24,100.4781
2017-11-17,99.9014
2017-11-10,99.4412
2017-11-03,98.9278
2017-10-27,97.9780
2017-10-20,96.6342
2017-10-13,96.3839
2017-10-06,96.1407
2017-09-29,96.1484
2017-09-22,96.6086
2017-09-15,97.0444
2017-09-08,97.6098
2017-09-01,98.2529
2017-08-25,98.9081
2017-08-18,99.7788
2017-08-11,100.3307
2017-08-04,100.7916
2017-07-28,101.3037
2017-07-21,101.5438
2017-07-14,101.4914
2017-07-07,101.8619
2017-06-30,102.2694
2017-06-23,103.1577
2017-06-16,104.1755
2017-06-09,105.3655
2017-06-02,106.6386
2017-05-26,108.0974
2017-05-19,109.6908
2017-05-12,111.5052
2017-05-05,113.2715
2017-04-28,114.6213
2017-04-21,115.8003
2017-04-13,116.0747
2017-04-07,116.2753
2017-03-31,115.9416
2017-03-24,115.4612
2017-03-17,114.9675
2017-03-10,114.1684
2017-03-03,113.2451
2017-02-24,112.2155
2017-02-17,111.2175
2017-02-10,109.9263
2017-02-03,109.1372
2017-01-27,108.0757
2017-01-20,107.5003
2017-01-13,106.5830
2017-01-06,105.4051
2016-12-30,104.2357
2016-12-23,103.3292
2016-12-16,102.5784
2016-12-09,101.9220
2016-12-02,101.4156
2016-11-25,100.7825
2016-11-18,100.3382
2016-11-11,100.1558
2016-11-04,100.4684
2016-10-28,100.9359
2016-10-21,101.7109
2016-10-14,102.2457
2016-10-07,102.4112
2016-09-30,102.5761
2016-09-23,102.8005
2016-09-16,102.6976
2016-09-09,102.3511
2016-09-02,101.3854
2016-08-26,100.8987
2016-08-19,100.2743
2016-08-12,99.5883
2016-08-05,98.8471
2016-07-29,98.0122
2016-07-22,97.0934
2016-07-15,96.3506
2016-07-08,95.7475
2016-07-01,95.4642
2016-06-24,95.7293
2016-06-17,95.4889
2016-06-10,95.4425
2016-06-03,95.0116
2016-05-27,94.5860
2016-05-20,94.1418
2016-05-13,93.3951
2016-05-06,92.3102
2016-04-29,91.5035
2016-04-22,89.8335
2016-04-15,88.2003
2016-04-08,86.4801
2016-04-01,84.4836
2016-03-24,83.2812
2016-03-18,82.2140
2016-03-11,81.7203
2016-03-04,81.6609
2016-02-26,81.8165
2016-02-19,81.8228
2016-02-12,82.8953
2016-02-05,83.6060
2016-01-29,84.4931
2016-01-22,85.1015
2016-01-15,85.5918
2016-01-08,86.0552
2015-12-31,86.5450
2015-12-24,87.2177
2015-12-18,88.1689
2015-12-11,88.7434
2015-12-04,88.9264
2015-11-27,89.2671
2015-11-20,89.7359
2015-11-13,90.5339
2015-11-06,91.0342
2015-10-30,91.2189
2015-10-23,91.8689
2015-10-16,92.2993
2015-10-09,92.7948
2015-10-02,93.5330
2015-09-25,95.2089
2015-09-18,96.5247
2015-09-11,97.4644
2015-09-04,98.5036
2015-08-28,99.6858
2015-08-21,100.9607
2015-08-14,101.6194
2015-08-07,102.3681
2015-07-31,103.0102
2015-07-24,103.9009
2015-07-17,103.8923
2015-07-10,104.2141
2015-07-02,104.5696
2015-06-26,104.3815
2015-06-19,103.9798
2015-06-12,103.5571
2015-06-05,103.1202
2015-05-29,102.5851
2015-05-22,101.4602
2015-05-15,100.4460
2015-05-08,99.6937
2015-05-01,99.0668
2015-04-24,98.3849
2015-04-17,98.0114
2015-04-10,97.4334
2015-04-02,97.2783
2015-03-27,96.9292
2015-03-20,96.6306
2015-03-13,96.9425
2015-03-06,97.1060
2015-02-27,96.8334
2015-02-20,96.2588
2015-02-13,96.4058
2015-02-06,96.6821
2015-01-30,97.1405
2015-01-23,97.4991
2015-01-16,97.8152
2015-01-09,98.0668
2015-01-02,98.0446
2014-12-26,98.2705
2014-12-19,99.8452
2014-12-12,101.8195
2014-12-05,103.2751
2014-11-28,105.1455
2014-11-21,106.8832
2014-11-14,108.4211
2014-11-07,110.2130
2014-10-31,111.8517
2014-10-24,113.4276
2014-10-17,114.6934
2014-10-10,114.8593
2014-10-03,115.0686
2014-09-26,115.1692
2014-09-19,114.7901
2014-09-12,114.4934
2014-09-05,113.8603
2014-08-29,113.1460
2014-08-22,112.5384
2014-08-15,112.3588
2014-08-08,112.1091
2014-08-01,111.8360
2014-07-25,111.3744
2014-07-18,111.3636
2014-07-11,111.4474
2014-07-03,111.5930
2014-06-27,112.0356
2014-06-20,112.8270
2014-06-13,113.3200
2014-06-06,113.5789
2014-05-30,113.6741
2014-05-23,113.4823
2014-05-16,113.4737
2014-05-09,112.9426
2014-05-02,112.4514
2014-04-25,111.9764
2014-04-17,111.2107
2014-04-11,109.9472
2014-04-04,109.1663
2014-03-28,109.0207
2014-03-21,108.8908
2014-03-14,109.0983
2014-03-07,108.9054
2014-02-28,108.7109
2014-02-21,108.0821
2014-02-14,107.7149
2014-02-07,107.8055
2014-01-31,108.0566
2014-01-24,108.2890
2014-01-17,107.6931
2014-01-10,107.2593
2014-01-03,106.6038
2013-12-27,105.9022
2013-12-20,106.1030
2013-12-13,106.5583
2013-12-06,106.9495
2013-11-29,107.5192
2013-11-22,108.2568
2013-11-15,108.2088
2013-11-08,108.3555
2013-11-01,108.6726
2013-10-25,109.1603
2013-10-18,109.9012
2013-10-11,110.4191
2013-10-04,111.2453
2013-09-27,111.6510
2013-09-20,111.7334
2013-09-13,111.7876
2013-09-06,112.2308
2013-08-30,112.7851
2013-08-23,113.7977
2013-08-16,115.0158
2013-08-09,116.2106
2013-08-02,116.9320
2013-07-26,117.5894
2013-07-19,118.2226
2013-07-12,118.8353
2013-07-05,118.7343
2013-06-28,118.6237
2013-06-21,119.5330
2013-06-14,119.8070
2013-06-07,120.0918
2013-05-31,120.2862
2013-05-24,120.5492
2013-05-17,120.6109
2013-05-10,120.4625
2013-05-03,120.3386
2013-04-26,120.6789
2013-04-19,121.2537
2013-04-12,120.8379
2013-04-05,120.5407
2013-03-28,119.4146
2013-03-22,118.2140
2013-03-15,117.0262
2013-03-08,115.7627
2013-03-01,115.1574
